Amostra_ID,Rotulo_Real,Rotulo_Previsto,Prob_Classe_0,Prob_Classe_1,Prob_Classe_2,Prob_Classe_3,Prob_Classe_4,Prob_Classe_5,Prob_Classe_6,Prob_Classe_7,Prob_Classe_8,Prob_Classe_9
37,1,1,8.500081e-10,0.9999975,9.645519e-09,1.1467769e-10,1.2171412e-06,2.0620776e-08,3.9015095e-08,8.85012e-07,4.4137542e-07,6.0266356e-09
38,2,2,1.5682285e-06,0.00016743212,0.9997677,3.528116e-05,1.897505e-07,2.2511907e-07,2.3833024e-07,1.7371152e-05,9.868255e-06,3.1754006e-08
39,1,1,1.1046768e-08,0.99999714,1.328568e-09,5.0486493e-11,1.462915e-06,2.734237e-08,2.1214348e-07,5.967898e-08,1.0589496e-06,1.5775541e-09
40,1,1,5.005003e-08,0.9999722,7.5862454e-07,1.4514914e-08,3.503067e-06,1.2240024e-06,1.6922675e-06,7.123985e-06,1.3210355e-05,3.0904008e-07
41,7,7,6.571022e-11,7.7108815e-08,1.5415154e-07,5.059728e-08,4.951688e-09,3.3435707e-10,4.8027516e-11,0.99999976,7.702223e-12,2.0897227e-08
42,4,4,8.5400576e-09,2.3975124e-07,1.0340583e-09,3.1150423e-11,0.9999988,2.742069e-07,4.439757e-07,5.150098e-08,1.4485478e-09,2.2484193e-07
43,2,2,0.00015538759,0.0035004497,0.9097235,9.172144e-07,0.08630039,0.00014286702,0.00016823738,2.4310357e-06,5.8531805e-06,5.6890848e-08
44,3,3,9.904626e-13,2.3268408e-10,2.2396458e-08,0.99999976,2.5239771e-12,2.079807e-07,1.93769e-12,3.484569e-11,2.2125137e-09,3.5043726e-10
45,5,5,2.4214272e-12,1.5611389e-11,1.7420363e-13,2.6509892e-09,3.1576304e-12,1.0,2.2337665e-09,1.8356813e-12,1.3833979e-08,1.5483004e-09
46,1,1,5.2467647e-10,0.99999344,5.3659894e-09,2.4088254e-09,1.857448e-06,6.644197e-09,1.340696e-08,1.868497e-08,3.9232723e-06,7.609253e-07
47,2,2,1.093895e-11,1.4123029e-09,1.0,2.7622546e-10,2.4254235e-10,3.661106e-12,1.3917059e-11,5.853208e-09,1.8594796e-11,2.728917e-14
48,4,4,4.0486448e-10,2.2213051e-08,2.9792955e-09,7.39987e-11,0.99998987,1.6208403e-06,1.5904189e-09,5.6814664e-10,1.0640394e-07,8.363075e-06
49,4,4,2.2125671e-07,2.2303863e-07,8.961928e-08,3.125047e-09,0.9871853,4.6896858e-07,5.2613352e-08,6.1565297e-06,1.00814134e-07,0.01280746
50,6,6,2.9482898e-08,9.043844e-12,1.0236891e-09,1.5010372e-10,2.6225132e-08,8.266243e-07,0.99999917,2.3798366e-12,8.231605e-09,2.2796752e-11
51,3,3,2.3231713e-16,2.521484e-13,3.8157555e-10,1.0,1.892208e-16,8.189177e-12,1.0689043e-17,4.5735404e-13,8.836276e-11,4.619654e-14
52,5,5,2.6420982e-14,1.3315271e-13,3.1775812e-15,2.2505595e-10,1.33854685e-14,1.0,1.8427e-13,2.1041352e-14,1.2121618e-12,2.5272044e-09
53,5,5,2.0349972e-08,1.2852014e-07,4.916559e-08,0.00047006266,2.0338254e-08,0.9994086,2.0998714e-08,3.0898065e-08,9.4362025e-05,2.6836067e-05
54,6,6,4.4757367e-10,7.0419164e-13,8.335962e-14,6.376282e-14,1.4806331e-10,1.4617119e-07,0.99999976,2.0077727e-13,6.8642336e-08,1.6452764e-13
55,0,0,0.99999964,3.5388923e-09,1.7830463e-07,1.6083802e-10,4.814312e-09,2.632898e-09,1.1286272e-07,5.5928004e-09,1.5402574e-07,2.0970374e-08
56,4,4,4.9201193e-10,4.3006928e-08,5.812708e-10,3.391423e-13,0.9999999,1.1799495e-08,4.2543066e-10,6.1032988e-09,1.2005833e-08,9.711819e-08
57,1,1,1.6087916e-10,0.99999976,1.8005906e-09,4.3847625e-12,2.2855153e-07,3.7793144e-10,2.6014795e-09,5.5699267e-08,3.8756333e-08,7.473246e-11
58,9,9,3.7677787e-13,3.4114958e-13,4.901912e-13,2.581214e-10,1.748853e-07,5.9015315e-10,3.4552102e-15,1.7608294e-10,4.3010283e-12,0.9999999
59,5,5,3.3333878e-09,7.878417e-09,1.0116329e-10,6.4272707e-09,4.0463865e-11,0.9999989,1.9560016e-09,2.4039463e-07,7.899288e-07,1.0813203e-08
60,7,7,2.6779948e-17,3.0569911e-16,2.5461607e-13,2.8364355e-13,3.0851646e-17,4.207843e-16,4.1524505e-22,1.0,1.4442e-19,1.2150848e-13
61,8,8,7.584778e-08,7.7468165e-09,0.0023914627,1.5146152e-06,7.5033996e-10,5.28156e-09,8.11797e-10,1.9676023e-09,0.99760675,6.098307e-08
62,9,9,3.009681e-06,3.3669286e-07,5.8844703e-06,9.492613e-06,1.2352018e-05,0.09686728,0.00062659674,6.472328e-07,0.03193753,0.87053686
63,3,3,7.0772994e-13,5.1507607e-11,2.4240785e-06,0.9999975,6.546681e-13,4.973274e-10,2.6991039e-14,3.837798e-09,8.162179e-08,2.1612573e-08
64,7,7,2.9461017e-10,9.1427527e-10,6.122773e-08,1.4969932e-07,1.065085e-08,3.6321018e-12,3.624225e-13,0.99999976,2.008609e-12,4.3583896e-08
65,4,4,2.556927e-07,2.326467e-06,4.747e-07,3.7449233e-08,0.9988117,0.000646456,1.0326353e-06,3.9681677e-08,1.5740996e-05,0.0005220368
66,6,6,3.5999215e-05,1.0583153e-07,9.4915146e-07,8.436048e-08,1.8164669e-06,3.4920913e-06,0.9999535,4.3120252e-08,4.0130103e-06,2.4176816e-09
67,4,4,1.0824336e-08,1.6429697e-08,1.08177725e-08,4.0043836e-12,0.9999999,8.207801e-08,1.32735405e-08,3.7346504e-10,2.9833383e-10,1.1893696e-08
68,3,3,3.282276e-16,1.3749504e-13,1.5109844e-12,1.0,1.1730178e-16,5.0532977e-11,7.513655e-18,3.419651e-14,1.1537582e-11,8.171717e-12
69,0,0,1.0,8.719e-15,8.628358e-11,8.3462705e-15,9.5971076e-14,5.820743e-13,6.6108646e-10,4.813326e-11,2.372561e-11,4.0541585e-13
70,7,7,1.4056562e-14,1.2726749e-12,3.9976377e-12,1.1562785e-11,6.517494e-13,1.742647e-14,1.1237292e-16,1.0,4.7456255e-17,5.6754882e-11
71,0,0,1.0,9.315622e-16,8.29365e-11,3.563883e-16,8.040289e-15,4.1793635e-18,2.7627891e-12,6.8024966e-15,7.190232e-14,1.08875874e-13
72,2,2,1.6383188e-13,2.332373e-14,1.0,3.5772673e-11,4.3888357e-17,4.2301293e-18,5.2752074e-21,5.89171e-11,1.72346e-16,1.1044811e-17
73,9,9,0.001181213,0.0010545622,1.0756383e-05,5.9857586e-05,0.005919236,2.448173e-05,6.0976316e-07,0.014469563,0.0010307193,0.97624904
74,1,1,9.840553e-10,0.9999989,6.114522e-10,1.818188e-11,2.0676347e-07,4.9040985e-08,2.7027994e-08,2.8690376e-08,8.422753e-07,4.119373e-09
75,7,7,5.733592e-14,3.5415726e-10,1.5865984e-10,1.528232e-09,7.8665746e-10,1.40631265e-11,8.944614e-15,1.0,7.7266684e-15,2.773383e-10
76,3,3,8.2030846e-17,2.0309367e-13,6.269274e-12,1.0,8.7209903e-16,2.5174548e-11,2.873529e-17,7.33723e-16,2.209165e-10,1.6538016e-11
77,2,2,2.4822424e-09,9.3584646e-07,0.9999987,4.9026106e-08,2.201827e-09,2.016502e-09,1.3030504e-08,3.9987867e-07,4.0041883e-08,2.3716031e-11
78,9,9,5.7090137e-08,8.1132435e-05,1.1237662e-08,2.3688932e-08,0.008346835,1.5777433e-06,1.0704564e-07,3.78638e-06,0.0010369424,0.9905295
79,7,7,6.179475e-07,1.4688784e-05,2.4148456e-05,3.0909974e-05,6.4038613e-06,8.7570277e-07,5.1190746e-08,0.99991155,2.1687333e-06,8.566169e-06
80,7,7,4.3169226e-08,1.2574745e-06,1.14239675e-08,3.1684755e-07,1.2855378e-06,3.203077e-07,2.9332096e-11,0.9799305,1.0849772e-09,0.020066258
81,6,6,1.3583545e-07,1.8442357e-09,2.5000922e-08,1.0468563e-10,3.6564168e-07,1.7181867e-06,0.9999975,2.6229963e-10,2.458096e-07,4.3552775e-09
82,2,2,1.03077276e-13,8.56124e-12,1.0,4.4165327e-12,3.5703314e-13,1.6309247e-15,7.308231e-17,7.21048e-09,7.7602875e-14,3.7927494e-16
83,7,7,4.2518294e-10,2.916553e-09,8.8504587e-10,2.1019486e-09,8.738148e-09,3.2611286e-10,1.3196895e-11,0.99999917,8.3504315e-12,8.741265e-07
84,8,8,4.830263e-08,2.6833658e-07,3.1964646e-07,2.7371427e-06,2.5597371e-08,9.615089e-08,2.7683097e-07,7.5962514e-10,0.9999958,3.325614e-07
85,4,4,4.813072e-09,1.8395678e-08,2.413034e-09,1.13776315e-11,0.9999995,2.9530509e-07,6.787911e-08,2.969253e-10,7.566686e-08,1.6916528e-09
86,7,7,4.5355493e-09,1.5915568e-07,9.981868e-09,1.8478561e-08,1.0238232e-07,2.9433838e-09,2.5090655e-10,0.9999993,6.47206e-10,4.943877e-07
87,3,3,8.369544e-15,2.345477e-09,5.03269e-09,1.0,2.1326286e-14,7.751039e-11,1.3844707e-14,4.3094173e-10,3.467504e-11,2.4384306e-13
88,6,6,2.362136e-10,7.9474086e-14,8.3981124e-13,1.5998191e-15,1.3054651e-08,1.2966882e-11,1.0,2.1912707e-14,1.8458115e-11,1.5537827e-16
89,1,1,2.0237632e-08,0.9999763,1.3814509e-08,1.4917613e-10,2.082519e-05,4.9155624e-08,1.1653059e-06,1.6030805e-07,1.496094e-06,3.0756667e-10
90,3,3,1.4160751e-15,2.1093481e-13,7.000607e-12,1.0,1.0176947e-15,1.9889854e-10,1.3583898e-17,3.9933088e-16,1.8314466e-08,1.968509e-08
91,6,6,7.979805e-11,2.0454061e-13,1.5158461e-11,2.6546688e-12,1.4142735e-09,7.877915e-09,1.0,3.5802175e-14,4.4667578e-10,2.7185386e-13
92,9,9,5.9342778e-08,1.9848368e-07,2.0064971e-07,1.15673856e-07,0.009272938,8.572758e-07,7.682734e-08,7.8809967e-07,0.000113147136,0.9906116
93,3,3,9.4573585e-12,1.1362091e-10,2.714523e-09,0.99999404,5.4982035e-12,2.3425516e-06,2.1231684e-13,2.974942e-12,7.550038e-08,3.4206425e-06
94,1,1,2.9388008e-09,0.99998987,2.7822453e-10,7.5961074e-13,8.642424e-06,1.7495708e-09,1.9270232e-08,1.8976143e-08,1.5026864e-06,2.619378e-09
95,4,4,1.2547496e-06,1.7810337e-06,2.6301257e-07,4.0381565e-09,0.99992645,9.540503e-06,5.9484395e-05,2.4364223e-07,6.8587997e-07,2.0076605e-07
96,1,1,1.7176116e-06,0.9948599,1.7585101e-07,4.6337115e-07,0.0003564208,6.1470746e-06,2.1973017e-07,6.7402398e-06,0.0015915639,0.0031767408
97,7,7,6.6489925e-11,1.7394456e-08,4.8814374e-05,1.6130196e-08,3.43367e-08,1.6356231e-12,4.684291e-12,0.9999511,3.7299848e-13,4.0365693e-13
98,6,6,1.4885371e-06,3.07372e-10,8.340114e-09,4.8488078e-11,4.2690192e-07,6.4241726e-07,0.9999974,4.967023e-11,1.608234e-08,2.368325e-09
99,9,9,8.456949e-12,4.8984265e-13,1.3049297e-12,5.8471823e-09,9.10967e-09,1.3300848e-10,3.767172e-15,3.9971618e-10,3.8273357e-11,1.0
100,6,6,4.0504273e-07,1.3922926e-08,9.026065e-09,1.0415156e-10,7.6175235e-07,3.4745827e-07,0.99999833,2.3783406e-09,1.2340693e-07,2.1903885e-11
101,0,0,0.9999994,1.1595486e-11,5.049937e-09,2.7771789e-12,8.805511e-12,6.348702e-12,6.5479117e-07,4.353845e-11,2.287456e-10,3.1036222e-11
102,5,5,7.320037e-16,4.765097e-14,5.4154175e-17,1.6493742e-09,1.1474715e-17,1.0,1.583886e-14,1.3346666e-14,4.7620924e-13,2.9004039e-11
103,4,4,1.9120561e-13,3.0333652e-11,2.5170024e-12,9.121852e-18,1.0,1.6494606e-11,4.551046e-13,4.699167e-13,1.844241e-12,1.4728159e-12
104,9,5,1.0315794e-06,9.614183e-07,1.1767536e-07,0.007689738,4.3095162e-07,0.78121567,7.31253e-09,3.4853224e-07,0.006609189,0.20448242
105,9,9,3.663385e-11,5.8933587e-12,1.102332e-10,1.346671e-08,9.248807e-08,1.0764998e-08,5.514322e-13,1.98787e-10,4.3645523e-09,0.9999999
106,2,2,6.0489223e-09,3.8538475e-10,0.9999999,1.228646e-09,2.2828446e-11,1.9184341e-13,5.351152e-13,1.6483223e-07,6.8529606e-11,7.375658e-13
107,1,1,3.664018e-07,0.9999981,7.645195e-10,2.9260047e-13,1.1062809e-07,3.4792071e-09,1.3664754e-08,5.5964846e-09,1.4596193e-06,1.7258962e-10
108,9,9,1.2373125e-10,5.7117314e-11,4.8572944e-11,2.583518e-09,1.0014953e-06,6.048838e-08,1.1025338e-12,7.1273615e-10,2.0414452e-08,0.9999989
109,4,4,1.0974166e-09,1.1375823e-08,7.005231e-10,1.0014266e-12,0.9999993,1.07567665e-07,5.422572e-07,3.6226496e-08,8.22405e-11,7.938652e-09
110,8,8,1.6713728e-11,1.780401e-09,5.3530336e-12,2.331426e-10,9.181064e-13,3.7529415e-12,9.343038e-13,1.2010654e-14,1.0,1.8761317e-10
111,7,7,3.518415e-08,1.9121513e-05,7.2258217e-06,1.1283866e-07,2.0553495e-07,9.048847e-10,4.77189e-11,0.9999733,1.9125533e-08,1.3758667e-08
112,3,3,1.6925285e-12,3.9004133e-10,3.974635e-10,0.9999999,2.1725453e-12,7.833552e-08,2.7520372e-13,4.9510014e-12,1.5222535e-09,2.1836366e-09
113,9,9,8.112826e-12,1.94166e-12,1.4378039e-12,2.220424e-09,1.1868136e-08,4.737449e-10,7.7512486e-14,9.607837e-11,1.0183187e-10,1.0
114,7,7,5.475318e-11,4.443009e-09,3.2997497e-07,4.032466e-08,2.8661791e-08,2.4813712e-11,7.013542e-12,0.99999964,2.8709316e-13,3.007621e-09
115,4,4,1.0487489e-06,3.323991e-06,1.8033318e-06,2.84908e-08,0.98570013,0.0002405953,9.266518e-05,3.4158992e-07,1.9452651e-05,0.013940386
116,4,4,2.101816e-11,6.693631e-09,3.3489775e-10,6.028063e-13,0.9999999,5.5060333e-08,1.857241e-09,9.87039e-11,5.1047424e-09,1.11671326e-07
117,4,4,3.432623e-10,3.4356182e-09,5.4559074e-08,8.392289e-12,1.0,3.426151e-08,2.626912e-11,3.0014356e-11,1.5756079e-08,3.3512237e-08
118,9,9,2.4330555e-07,1.2695207e-06,2.2637084e-07,9.3818704e-07,0.00012443075,1.5495922e-06,3.0828534e-07,1.4845203e-06,1.9333205e-05,0.99985015
119,2,2,1.84079e-08,2.627904e-07,0.99997497,1.9180665e-07,5.5529945e-09,1.5911658e-09,1.2936582e-07,3.1190427e-06,2.133378e-05,2.0521584e-09
120,5,5,5.840095e-16,4.645224e-14,7.164007e-17,4.1931827e-08,2.8892585e-17,1.0,2.212883e-15,2.0075032e-15,1.3682167e-13,1.2893492e-10
121,4,4,1.5062565e-05,1.5133888e-06,4.1555745e-06,6.2472765e-08,0.98524797,7.498316e-05,0.014298885,1.2205089e-05,0.00033267963,1.2394477e-05
122,7,7,7.163798e-09,6.260472e-07,2.1841631e-06,2.428803e-08,1.5957848e-07,2.5025475e-09,6.39534e-10,0.99999535,2.450896e-10,1.6429984e-06
123,6,6,4.0584897e-08,3.371189e-09,1.9455955e-08,1.5823869e-10,2.4769383e-06,2.1784453e-07,0.99999714,1.7460733e-09,8.4260755e-08,9.51767e-11
124,7,7,1.3951357e-09,3.0430022e-07,7.718972e-09,4.2769757e-09,0.15479182,6.320036e-08,8.4937693e-07,0.845206,2.3709708e-09,9.508616e-07
125,9,9,1.9917586e-06,4.075723e-06,1.2898911e-05,3.3811706e-05,0.012900316,2.2196835e-05,2.3053717e-08,3.7371735e-06,3.3026785e-07,0.98702055
126,0,0,0.9999778,4.0706255e-10,1.3513139e-08,1.6881496e-07,1.2503929e-08,2.4822203e-08,2.8294906e-08,7.4445766e-10,5.6361023e-09,2.2077402e-05
127,5,5,2.5577106e-17,4.716666e-14,2.7107184e-18,2.695755e-11,7.006704e-18,1.0,6.957255e-15,8.848089e-17,1.7138425e-12,8.302857e-12
128,8,8,2.4084739e-09,1.6698799e-09,1.3577874e-08,2.7809287e-08,1.9397251e-11,3.4562164e-09,2.6084213e-09,3.3082783e-12,1.0,2.7956588e-09
129,5,5,2.5580802e-18,3.6966725e-17,1.0190563e-19,3.5983972e-12,2.1466209e-19,1.0,3.051269e-17,4.8368782e-18,1.3541591e-15,7.587168e-12
130,6,6,2.2848763e-09,1.4497333e-11,3.1816275e-10,2.1292738e-11,2.990395e-07,3.981049e-08,0.99999964,4.408965e-12,3.1469498e-09,5.1896848e-11
131,6,6,6.8745884e-11,2.6375767e-14,4.2754363e-12,1.7961968e-13,8.743648e-11,2.3887067e-08,1.0,4.3445146e-15,8.4739593e-10,2.8520446e-12
132,5,5,9.191444e-15,6.926273e-11,5.953151e-14,1.5749144e-07,5.87314e-15,0.9999999,2.0839394e-12,5.283707e-13,1.4091533e-11,6.007986e-10
133,7,7,6.5720593e-12,4.9120086e-10,7.066031e-08,1.4924147e-09,1.2435112e-08,6.571771e-12,1.2404364e-12,0.9999999,1.8108773e-14,4.8783494e-10
134,8,8,1.4094034e-11,1.5233684e-10,1.7573325e-11,3.49516e-11,1.0531865e-12,2.8398883e-10,2.0416273e-11,8.227161e-15,1.0,2.5354932e-10
135,1,1,3.0462488e-10,0.99999964,4.1257117e-10,9.4437114e-12,2.6092965e-07,5.836962e-09,1.43892285e-08,3.9081094e-08,8.7441755e-08,4.1483897e-10
136,0,0,1.0,2.7138602e-13,5.71133e-09,1.1960138e-13,1.507599e-12,9.691214e-14,9.3836425e-11,1.2012041e-12,1.4795318e-11,9.848877e-11
137,1,1,3.319409e-07,0.9999908,1.8023782e-09,2.4903757e-12,5.202792e-07,9.5663e-10,1.8618076e-08,1.0051268e-08,8.324197e-06,8.464916e-10
138,6,6,4.0383994e-09,4.3126197e-12,3.9046325e-11,6.0309125e-14,1.4497117e-07,2.5149924e-11,0.9999999,1.655047e-12,1.1233126e-10,1.2439268e-15
139,4,4,5.262579e-08,2.8677105e-08,4.973679e-08,1.2956286e-09,0.99997306,1.680547e-07,2.7461401e-06,2.2596435e-06,2.3172555e-07,2.139868e-05
140,6,6,2.433423e-08,5.966585e-11,2.280926e-10,4.457144e-12,7.847384e-08,8.491408e-08,0.99999976,3.5742908e-12,6.6736416e-09,7.567164e-12
141,7,7,2.9708598e-16,2.2978603e-14,1.8034126e-13,8.493429e-13,6.1518063e-15,1.3534516e-15,1.3294953e-19,1.0,1.5970789e-18,1.6778055e-11
142,3,3,8.073881e-12,1.0432245e-08,1.5291401e-06,0.99999833,1.5150797e-12,9.5545785e-09,2.4107075e-13,2.3492797e-08,9.653612e-08,1.0493165e-09
143,1,1,8.243136e-11,1.0,8.496212e-10,5.139561e-13,3.226026e-08,3.846754e-10,1.7776933e-09,2.9666081e-08,3.240846e-08,7.464943e-11
144,7,7,1.848394e-10,3.090264e-09,2.531532e-08,2.6801263e-08,1.15844024e-07,2.0526383e-10,4.6061067e-12,0.9999995,4.2164522e-13,3.7792398e-07
145,1,1,1.0537692e-09,0.99999654,5.1462834e-09,4.6426132e-10,2.5686675e-06,7.716006e-08,6.4384615e-08,1.4645424e-07,4.5308636e-07,1.36762575e-08
146,8,8,4.4606803e-09,1.0303972e-09,7.789757e-09,3.8559318e-08,6.443067e-11,9.935261e-09,1.2443675e-08,2.2643781e-12,0.99999976,7.539633e-08
147,2,2,2.5539987e-15,1.0180336e-13,1.0,5.5157038e-12,3.112808e-14,2.9633994e-17,9.185012e-19,8.1622387e-10,1.5021352e-14,1.4652775e-17
148,0,0,0.9999999,1.2978609e-11,1.06762805e-07,1.8837503e-11,2.0381176e-11,1.5767739e-12,2.5192595e-08,1.5295864e-11,2.552276e-10,5.36376e-10
149,2,3,0.00018801545,0.00021213017,0.24701561,0.6917652,0.0013164737,0.011408326,9.440981e-05,0.00014289348,0.031217646,0.016639223
150,9,9,1.9593574e-12,2.8091548e-13,1.8408436e-11,5.9456634e-10,2.6125305e-08,1.1288849e-09,1.0160336e-13,1.37906206e-11,2.7658882e-09,1.0
151,9,8,0.0003975199,2.0478257e-07,5.183804e-05,0.004390782,6.3010424e-09,9.950425e-06,4.91823e-09,5.6235585e-09,0.98155504,0.01359461
152,5,5,8.34089e-15,8.947416e-14,2.9306658e-15,6.8343703e-12,1.4300596e-14,1.0,1.6254491e-12,8.914258e-16,3.5428563e-10,1.6597251e-09
153,5,5,6.353214e-12,2.7310013e-10,8.559529e-12,5.790649e-07,1.1342887e-11,0.99999845,7.0772227e-10,1.3994331e-12,5.6865434e-07,3.682558e-07
154,1,1,4.0644363e-08,0.9999831,1.5251385e-07,1.6339753e-09,7.1249524e-06,8.72778e-07,1.9231181e-06,4.1296826e-06,2.2671218e-06,4.4424058e-07
